date,<20,20s,30s,40s,50s,60s,70s,80s,90s
06-12,20.0,112.0,65.0,64.0,100.0,66.0,48.0,61.0,40.0
06-13,21.0,113.0,65.0,64.0,100.0,67.0,48.0,61.0,40.0
06-14,22.0,116.0,66.0,64.0,100.0,67.0,49.0,61.0,40.0
06-15,23.0,119.0,66.0,65.0,100.0,67.0,49.0,61.0,40.0
06-16,24.0,119.0,68.0,65.0,100.0,68.0,49.0,62.0,40.0
06-17,25.0,119.0,69.0,66.0,102.0,68.0,49.0,62.0,40.0
06-18,27.0,119.0,69.0,66.0,102.0,69.0,49.0,62.0,40.0
06-19,27.0,119.0,69.0,66.0,102.0,69.0,49.0,62.0,40.0
06-20,27.0,120.0,69.0,66.0,102.0,69.0,51.0,62.0,40.0
06-21,27.0,121.0,69.0,66.0,102.0,69.0,51.0,62.0,40.0
06-22,27.0,122.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
06-23,27.0,123.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
06-24,27.0,124.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
06-25,27.0,125.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
06-26,28.0,127.0,69.0,66.0,102.0,71.0,52.0,62.0,40.0
06-27,29.0,130.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
06-28,29.0,133.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
06-29,29.0,134.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
06-30,29.0,134.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
07-01,29.0,135.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
07-02,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
07-03,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
07-04,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
07-05,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
07-06,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
07-07,29.0,137.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
07-08,29.0,137.0,71.0,67.0,103.0,71.0,52.0,62.0,40.0
07-09,29.0,137.0,72.0,67.0,103.0,71.0,52.0,62.0,40.0
07-10,29.0,138.0,72.0,67.0,103.0,71.0,52.0,62.0,40.0
07-11,29.0,138.0,73.0,69.0,103.0,71.0,53.0,63.0,40.0
07-12,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
07-13,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
07-14,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
07-15,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
07-16,29.0,138.0,74.0,70.0,103.0,71.0,53.0,63.0,40.0
07-17,29.0,138.0,74.0,70.0,104.0,73.0,53.0,63.0,40.0
07-18,29.0,138.0,75.0,70.0,105.0,73.0,53.0,63.0,40.0
07-19,29.0,138.0,75.0,70.0,105.0,73.0,53.0,63.0,40.0
07-20,29.0,138.0,76.0,70.0,105.0,73.0,54.0,63.0,40.0
07-21,29.0,138.0,77.0,70.0,105.0,73.0,54.0,63.0,40.0
07-22,29.0,140.0,78.0,70.0,105.0,73.0,54.0,63.0,40.0
07-23,30.0,143.0,79.0,71.0,106.0,73.0,54.0,63.0,40.0
07-24,30.0,143.0,81.0,71.0,107.0,73.0,54.0,63.0,40.0
07-25,30.0,143.0,81.0,71.0,108.0,74.0,54.0,63.0,40.0
07-26,30.0,144.0,81.0,72.0,108.0,75.0,54.0,63.0,40.0
07-27,30.0,144.0,81.0,72.0,108.0,75.0,54.0,63.0,40.0
07-28,30.0,144.0,82.0,73.0,108.0,75.0,54.0,63.0,40.0
07-29,30.0,144.0,82.0,73.0,108.0,75.0,54.0,63.0,40.0
07-30,32.0,144.0,83.0,74.0,109.0,75.0,54.0,63.0,40.0
07-31,32.0,145.0,83.0,74.0,109.0,75.0,54.0,63.0,40.0
08-01,32.0,145.0,84.0,74.0,109.0,75.0,54.0,63.0,40.0
08-02,32.0,146.0,85.0,75.0,109.0,75.0,54.0,63.0,40.0
08-03,32.0,146.0,85.0,75.0,109.0,75.0,54.0,63.0,40.0
08-04,32.0,147.0,85.0,75.0,109.0,75.0,54.0,63.0,40.0
08-05,32.0,147.0,86.0,75.0,109.0,75.0,54.0,63.0,40.0
08-06,32.0,147.0,87.0,75.0,109.0,75.0,54.0,63.0,40.0
08-07,32.0,147.0,87.0,75.0,109.0,75.0,54.0,63.0,40.0
08-08,32.0,147.0,87.0,75.0,110.0,75.0,54.0,63.0,40.0
08-09,32.0,148.0,87.0,75.0,110.0,75.0,54.0,63.0,40.0
08-10,32.0,148.0,88.0,76.0,111.0,75.0,54.0,63.0,40.0
08-11,32.0,149.0,89.0,77.0,111.0,76.0,54.0,63.0,40.0
08-12,33.0,149.0,89.0,78.0,111.0,76.0,54.0,63.0,40.0
08-13,33.0,149.0,90.0,79.0,111.0,76.0,54.0,63.0,40.0
08-14,40.0,150.0,91.0,80.0,112.0,76.0,55.0,63.0,40.0
08-15,40.0,150.0,91.0,80.0,112.0,76.0,55.0,63.0,40.0
08-16,41.0,151.0,91.0,80.0,112.0,76.0,55.0,63.0,40.0
08-17,41.0,152.0,91.0,81.0,112.0,76.0,55.0,63.0,40.0
08-18,45.0,153.0,92.0,81.0,112.0,76.0,55.0,63.0,40.0
08-19,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
08-20,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
08-21,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
08-22,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
