date,London,Durham,Halton,Hamilton,Ottawa,Waterloo,Windsor
2021-02-04,5749.0,10856.0,8319.0,9412.0,13473.0,9526.0,12197.0
2021-02-03,5719.0,10814.0,8260.0,9344.0,13422.0,9479.0,12160.0
2021-02-02,5700.0,10759.0,8169.0,9293.0,13366.0,9411.0,12125.0
2021-02-01,5662.0,10723.0,8110.0,9232.0,13309.0,9379.0,12083.0
2021-01-31,5645.0,10674.0,8076.0,9179.0,13276.0,9358.0,12060.0
2021-01-30,5627.0,10607.0,8026.0,9136.0,13251.0,9312.0,12028.0
2021-01-29,5581.0,10548.0,7973.0,9075.0,13210.0,9251.0,11971.0
2021-01-28,5552.0,10465.0,7930.0,9018.0,13138.0,9188.0,11927.0
2021-01-27,5515.0,10380.0,7866.0,8924.0,13093.0,9132.0,11860.0
2021-01-26,5479.0,10317.0,7818.0,8840.0,13011.0,9057.0,11823.0
2021-01-25,5445.0,10266.0,7769.0,8781.0,12979.0,8980.0,11764.0
2021-01-24,5399.0,10204.0,7715.0,8726.0,12928.0,8941.0,11679.0
2021-01-23,5354.0,10125.0,7637.0,8628.0,12829.0,8863.0,11606.0
2021-01-22,5299.0,10057.0,7560.0,8521.0,12728.0,8777.0,11506.0
2021-01-21,5234.0,9977.0,7458.0,8443.0,12653.0,8649.0,11388.0
2021-01-20,5158.0,9885.0,7406.0,8374.0,12491.0,8531.0,11296.0
2021-01-19,5093.0,9815.0,7355.0,8299.0,12405.0,8430.0,11117.0
2021-01-18,5020.0,9733.0,7284.0,8236.0,12364.0,8351.0,11036.0
2021-01-17,4953.0,9657.0,7205.0,8115.0,12272.0,8266.0,10939.0
2021-01-16,4787.0,9560.0,7146.0,8024.0,12128.0,8122.0,10685.0
2021-01-15,4727.0,9398.0,7085.0,7971.0,11976.0,7990.0,10570.0
2021-01-14,4666.0,9285.0,7004.0,7833.0,11843.0,7829.0,10422.0
2021-01-13,4564.0,9192.0,6919.0,7726.0,11699.0,7729.0,10154.0
2021-01-12,4461.0,9073.0,6831.0,7555.0,11545.0,7583.0,9909.0
2021-01-11,4387.0,8998.0,6784.0,7469.0,11477.0,7417.0,9751.0
2021-01-10,4246.0,8855.0,6703.0,7323.0,11318.0,7252.0,9633.0
2021-01-09,4073.0,8665.0,6585.0,7259.0,11189.0,7032.0,9410.0
2021-01-08,3993.0,8499.0,6507.0,7192.0,11010.0,6916.0,9128.0
2021-01-06,3940.0,8329.0,6373.0,7016.0,10856.0,6769.0,8944.0
2021-01-05,3824.0,8155.0,6278.0,6870.0,10692.0,6594.0,8736.0
2021-01-04,3787.0,8062.0,6253.0,6828.0,10637.0,6508.0,8689.0
2021-01-03,3631.0,7931.0,6138.0,6708.0,10530.0,6377.0,8557.0
2021-01-02,3507.0,7786.0,6019.0,6558.0,10433.0,6240.0,8405.0
2021-01-01,3438.0,7604.0,5951.0,6443.0,10340.0,6142.0,8271.0
2020-12-31,3357.0,7466.0,5832.0,6316.0,10216.0,5996.0,8091.0
2020-12-30,3282.0,7322.0,5700.0,6165.0,10103.0,5901.0,7807.0
2020-12-29,3216.0,7182.0,5604.0,6012.0,9969.0,5837.0,7620.0
2020-12-28,3083.0,7040.0,5544.0,5863.0,9829.0,5713.0,7420.0
2020-12-27,2999.0,6919.0,5430.0,5727.0,9776.0,5639.0,7208.0
2020-12-26,2908.0,6848.0,5345.0,5593.0,9715.0,5588.0,6988.0
2020-12-25,2823.0,6794.0,5246.0,5502.0,9676.0,5533.0,6830.0
2020-12-24,2775.0,6715.0,5184.0,5407.0,9605.0,5469.0,6637.0
2020-12-23,2733.0,6648.0,5096.0,5329.0,9533.0,5387.0,6503.0
2020-12-22,2682.0,6557.0,5019.0,5251.0,9481.0,5289.0,6385.0
2020-12-21,2598.0,6435.0,4951.0,5134.0,9407.0,5200.0,6176.0
2020-12-20,2530.0,6320.0,4892.0,5045.0,9376.0,5106.0,6030.0
2020-12-19,2443.0,6222.0,4809.0,4962.0,9351.0,5022.0,5831.0
2020-12-18,2375.0,6157.0,4727.0,4856.0,9306.0,4924.0,5675.0
2020-12-17,2301.0,6058.0,4640.0,4765.0,9280.0,4832.0,5539.0
2020-12-16,2228.0,5960.0,4579.0,4600.0,9221.0,4741.0,5324.0
2020-12-15,2171.0,5867.0,4494.0,4501.0,9166.0,4667.0,5143.0
2020-12-14,2145.0,5745.0,4412.0,4412.0,9116.0,4580.0,4949.0
2020-12-13,2105.0,5656.0,4362.0,4335.0,9097.0,4530.0,4852.0
2020-12-12,2057.0,5589.0,4289.0,4240.0,9066.0,4449.0,4681.0
2020-12-11,2019.0,5501.0,4247.0,4103.0,9010.0,4386.0,4602.0
2020-12-10,1987.0,5422.0,4178.0,4017.0,8960.0,4323.0,4502.0
2020-12-09,1950.0,5337.0,4134.0,3917.0,8907.0,4232.0,4416.0
2020-12-08,1914.0,5270.0,4070.0,3852.0,8865.0,4172.0,4335.0
2020-12-07,1851.0,5205.0,4011.0,3786.0,8806.0,4113.0,4210.0
2020-12-06,1831.0,5120.0,3923.0,3686.0,8784.0,4055.0,4113.0
2020-12-05,1791.0,5035.0,3865.0,3643.0,8751.0,3997.0,4043.0
2020-12-04,1757.0,4874.0,3810.0,3557.0,8706.0,3930.0,3981.0
2020-12-03,1741.0,4827.0,3757.0,3479.0,8653.0,3899.0,3914.0
2020-12-02,1703.0,4720.0,3692.0,3398.0,8611.0,3835.0,3845.0
2020-12-01,1665.0,4677.0,3638.0,3344.0,8559.0,3769.0,3799.0
2020-11-30,1618.0,4570.0,3573.0,3285.0,8523.0,3674.0,3751.0
2020-11-29,1584.0,4480.0,3524.0,3223.0,8478.0,3603.0,3699.0
2020-11-28,1567.0,4433.0,3474.0,3165.0,8455.0,3545.0,3642.0
2020-11-27,1551.0,4306.0,3438.0,3111.0,8396.0,3468.0,3578.0
2020-11-26,1533.0,4238.0,3410.0,3021.0,8339.0,3376.0,3538.0
2020-11-25,1515.0,4194.0,3321.0,2918.0,8279.0,3298.0,3479.0
2020-11-24,1499.0,4129.0,3214.0,2864.0,8240.0,3229.0,3441.0
2020-11-23,1481.0,4094.0,3188.0,2800.0,8218.0,3151.0,3392.0
2020-11-22,1464.0,4064.0,3161.0,2752.0,8198.0,3086.0,3341.0
2020-11-21,1454.0,4034.0,3133.0,2713.0,8172.0,3019.0,3303.0
2020-11-20,1438.0,3997.0,3088.0,2676.0,8145.0,2956.0,3271.0
2020-11-19,1428.0,3939.0,3038.0,2618.0,8115.0,2907.0,3223.0
2020-11-18,1402.0,3906.0,2988.0,2559.0,8062.0,2869.0,3171.0
2020-11-17,1380.0,3822.0,2948.0,2522.0,7996.0,2841.0,3131.0
2020-11-16,1361.0,3791.0,2906.0,2490.0,7958.0,2802.0,3111.0
2020-11-15,1358.0,3732.0,2848.0,2452.0,7948.0,2749.0,3094.0
2020-11-14,1352.0,3685.0,2791.0,2420.0,7919.0,2697.0,3080.0
2020-11-13,1337.0,3624.0,2740.0,2380.0,7868.0,2630.0,3063.0
2020-11-12,1314.0,3572.0,2683.0,2354.0,7787.0,2574.0,3035.0
2020-11-11,1307.0,3524.0,2626.0,2315.0,7730.0,2522.0,3000.0
2020-11-10,1284.0,3463.0,2585.0,2276.0,7652.0,2475.0,2972.0
2020-11-09,1270.0,3403.0,2527.0,2235.0,7601.0,2429.0,2943.0
2020-11-08,1260.0,3349.0,2495.0,2197.0,7570.0,2387.0,2939.0
2020-11-07,1241.0,3326.0,2442.0,2136.0,7523.0,2349.0,2921.0
2020-11-06,1205.0,3292.0,2397.0,2085.0,7448.0,2314.0,2890.0
2020-11-05,1193.0,3254.0,2333.0,2035.0,7369.0,2286.0,2884.0
2020-11-04,1165.0,3216.0,2281.0,1982.0,7324.0,2251.0,2879.0
2020-11-03,1161.0,3191.0,2234.0,1941.0,7271.0,2230.0,2859.0
2020-11-02,1148.0,3165.0,2187.0,1913.0,7236.0,2206.0,2856.0
2020-11-01,1140.0,3103.0,2132.0,1882.0,7180.0,2185.0,2853.0
2020-10-31,1139.0,3039.0,2083.0,1852.0,7129.0,2168.0,2844.0
2020-10-30,1131.0,3016.0,2056.0,1817.0,7047.0,2146.0,2831.0
2020-10-29,1126.0,2984.0,2033.0,1782.0,6926.0,2127.0,2823.0
2020-10-28,1122.0,2966.0,1990.0,1750.0,6861.0,2107.0,2814.0
2020-10-27,1107.0,2934.0,1968.0,1733.0,6766.0,2094.0,2806.0
2020-10-26,1102.0,2844.0,1900.0,1684.0,6617.0,2085.0,2785.0
2020-10-25,1091.0,2821.0,1873.0,1643.0,6541.0,2081.0,2783.0
2020-10-24,1081.0,2769.0,1842.0,1630.0,6461.0,2060.0,2771.0
2020-10-23,1073.0,2718.0,1821.0,1620.0,6372.0,2046.0,2769.0
2020-10-22,1063.0,2680.0,1787.0,1605.0,6285.0,2033.0,2763.0
2020-10-21,1053.0,2651.0,1758.0,1585.0,6213.0,2024.0,2761.0
2020-10-20,1050.0,2608.0,1734.0,1551.0,6156.0,2009.0,2763.0
2020-10-19,1040.0,2576.0,1688.0,1515.0,6077.0,1995.0,2754.0
2020-10-18,1034.0,2560.0,1665.0,1498.0,6026.0,1981.0,2751.0
2020-10-17,1030.0,2515.0,1636.0,1487.0,5960.0,1977.0,2750.0
2020-10-16,1021.0,2485.0,1611.0,1475.0,5890.0,1958.0,2744.0
2020-10-15,1009.0,2458.0,1565.0,1453.0,5782.0,1946.0,2732.0
2020-10-14,1006.0,2418.0,1537.0,1434.0,5693.0,1933.0,2731.0
2020-10-13,1000.0,2396.0,1516.0,1393.0,5654.0,1910.0,2729.0
2020-10-12,957.0,2371.0,1467.0,1344.0,5419.0,1887.0,2707.0
2020-10-11,957.0,2371.0,1467.0,1344.0,5419.0,1887.0,2707.0
2020-10-10,957.0,2371.0,1467.0,1344.0,5419.0,1887.0,2707.0
2020-10-09,953.0,2363.0,1442.0,1342.0,5390.0,1878.0,2704.0
2020-10-08,950.0,2324.0,1401.0,1288.0,5287.0,1859.0,2696.0
2020-10-07,931.0,2305.0,1345.0,1262.0,5198.0,1845.0,2688.0
2020-10-06,926.0,2274.0,1319.0,1240.0,5018.0,1833.0,2686.0
2020-10-05,910.0,2261.0,1283.0,1222.0,4876.0,1820.0,2683.0
